# index, _pos
143,"array([ 1.8332412 , -0.38769447])"
144,"array([ 1.93491175, -0.26023496])"
145,"array([ 1.91477697, -0.57401584])"
146,"array([ 1.75200314, -0.32597046])"
147,"array([ 1.61685686, -0.34948813])"
148,"array([ 1.98539953, -0.61183802])"
149,"array([ 1.67175114, -0.36765681])"
150,"array([ 1.87918518, -0.39285045])"
151,"array([ 1.84166127, -0.6720855 ])"
152,"array([ 1.81713237, -0.69460459])"
153,"array([ 2.32761819, -0.51492908])"
154,"array([ 1.92361551, -0.28595198])"
155,"array([ 1.9349009 , -0.64218839])"
156,"array([ 2.02619491, -0.69532226])"
157,"array([ 1.94108757, -0.5244706 ])"
158,"array([1.7405748 , 0.00322502])"
159,"array([ 1.73456256, -0.46322893])"
160,"array([ 2.18778112, -0.40527039])"
161,"array([ 2.16031078, -0.19926485])"
162,"array([ 1.75276225, -0.35802852])"
163,"array([ 1.78668646, -0.3184032 ])"
164,"array([ 2.05736528, -0.542419  ])"
165,"array([ 2.26984062, -0.47399072])"
166,"array([ 1.77036417, -0.69411617])"
167,"array([ 2.00911583, -0.62930769])"
168,"array([ 2.19568322, -0.48476023])"
169,"array([ 1.65972256, -0.33253941])"
170,"array([ 2.06736878, -0.65449889])"
171,"array([ 1.91486049, -0.62714686])"
172,"array([ 2.01966851, -0.53072371])"
173,"array([ 1.88010338, -0.6709157 ])"
174,"array([ 1.72333127, -0.67421739])"
175,"array([ 2.03226929, -0.65753189])"
176,"array([ 1.64240541, -0.36345676])"
177,"array([ 2.05640508, -0.68065853])"
178,"array([ 2.19479616, -0.58345557])"
179,"array([ 1.97940236, -0.70286197])"
180,"array([ 1.84060699, -0.64161163])"
181,"array([ 1.91470722, -0.6676956 ])"
182,"array([ 2.21602979, -0.15989265])"
183,"array([ 2.02037515, -0.59664595])"
184,"array([ 1.93171001, -0.76084563])"
185,"array([ 1.63541829, -0.67160262])"
186,"array([ 1.70965117, -0.60682196])"
187,"array([ 2.04239585, -0.57773663])"
188,"array([ 1.80573723, -0.62879961])"
189,"array([ 1.79447238, -0.6011999 ])"
190,"array([ 1.76592746, -0.61529891])"
191,"array([ 1.64899304, -0.57480774])"
192,"array([ 2.1764866 , -0.60263994])"
193,"array([ 2.29496452, -0.224564  ])"
194,"array([ 2.04658855, -0.35091914])"
195,"array([1.81184794, 0.18212243])"
196,"array([ 2.23880731, -0.28995047])"
197,"array([ 2.03188059, -0.3224654 ])"
198,"array([ 2.25059169, -0.09976418])"
199,"array([ 1.87351347, -0.08789695])"
200,"array([ 1.67667851, -0.09540209])"
201,"array([ 1.99528937, -0.29617625])"
202,"array([ 2.00728959, -0.2227124 ])"
203,"array([ 1.83011775, -0.29834289])"
204,"array([ 1.75538516, -0.1842204 ])"
205,"array([ 2.21548426, -0.20754874])"
206,"array([ 2.27003402, -0.18657787])"
207,"array([ 1.97408244, -0.31107415])"
208,"array([ 1.9417987 , -0.10265854])"
209,"array([2.00329075, 0.23240743])"
210,"array([ 1.84021434, -0.1008242 ])"
211,"array([ 2.23364141, -0.00699406])"
212,"array([ 1.88436334, -0.31911947])"
213,"array([ 1.90117888, -0.00758014])"
214,"array([ 1.78173514, -0.18068509])"
215,"array([ 2.03359853, -0.29768051])"
216,"array([ 2.03965078, -0.2693803 ])"
217,"array([ 1.82782837, -0.08192855])"
218,"array([ 2.05548792, -0.28169472])"
219,"array([ 1.86866758, -0.2661357 ])"
220,"array([ 1.79026154, -0.15782303])"
221,"array([ 1.77317218, -0.05585836])"
222,"array([ 1.8693356 , -0.11404801])"
223,"array([ 2.05962317, -0.31133664])"
224,"array([ 1.7393044 , -0.14448314])"
225,"array([ 1.8184485 , -0.21112086])"
226,"array([ 1.82192523, -0.05430769])"
227,"array([ 1.82017416, -0.00736712])"
228,"array([ 1.7501069 , -0.09278628])"
229,"array([ 2.13729145, -0.03370947])"
230,"array([ 1.72975047, -0.17286803])"
231,"array([1.83106722, 0.13720542])"
232,"array([1.7583356 , 0.10554136])"
233,"array([ 1.92396384, -0.05385146])"
234,"array([ 1.77687661, -0.11571884])"
235,"array([ 2.08947898, -0.11865262])"
236,"array([ 2.12158654, -0.11177602])"
237,"array([2.05295948, 0.03565976])"
238,"array([ 1.80089268, -0.03318429])"
239,"array([ 2.21771344, -0.08588486])"
240,"array([1.70323163, 0.15316274])"
241,"array([ 2.03399088, -0.13209264])"
242,"array([ 1.90044689, -0.06775   ])"
243,"array([ 1.99473524, -0.0266688 ])"
244,"array([ 1.93250423, -0.16436101])"
245,"array([1.74659984, 0.13606187])"
246,"array([ 1.76715308, -0.14528504])"
247,"array([2.14743471, 0.01175918])"
248,"array([2.09024612, 0.06449764])"
249,"array([2.08317854, 0.09997099])"
250,"array([1.99005202, 0.09885709])"
251,"array([2.16280536, 0.04982299])"
252,"array([2.04641396, 0.00364894])"
253,"array([2.05353352, 0.0715708 ])"
254,"array([2.04224857, 0.10250667])"
255,"array([ 2.1221323 , -0.00454002])"
256,"array([1.79315649, 0.1529279 ])"
257,"array([2.11040174, 0.11720878])"
258,"array([ 2.1702891 , -0.10263059])"
259,"array([1.95958387, 0.08781068])"
260,"array([ 2.08369539, -0.30967295])"
261,"array([2.12035279, 0.05771941])"
262,"array([2.02799497, 0.05962587])"
263,"array([ 2.01146636, -0.28044447])"
264,"array([1.93366444, 0.05230116])"
265,"array([2.15218716, 0.08819663])"
266,"array([ 2.24716037, -0.06523348])"
267,"array([ 1.8447499 , -0.26965215])"
268,"array([1.95726231, 0.03085345])"
269,"array([1.918355  , 0.14253945])"
270,"array([ 2.02019525, -0.04056532])"
271,"array([2.11929569, 0.08984352])"
272,"array([1.94642646, 0.12720188])"
273,"array([ 1.9478172 , -0.07061633])"
274,"array([ 1.81931995, -0.24252856])"
275,"array([ 2.06401968, -0.1042446 ])"
276,"array([1.89747343, 0.20683985])"
277,"array([ 2.05468744, -0.24742576])"
278,"array([1.90038857, 0.11827271])"
279,"array([1.87554261, 0.14485821])"
280,"array([ 2.01277159, -0.11889598])"
281,"array([ 2.1767872 , -0.07052327])"
282,"array([1.81808936, 0.02880827])"
283,"array([1.9553615 , 0.22003905])"
284,"array([ 1.71990758, -0.03758161])"
285,"array([1.88815837, 0.17051023])"
286,"array([1.88608652, 0.01938475])"
287,"array([ 1.9624207 , -0.04146371])"
288,"array([ 1.68782609, -0.02824712])"
289,"array([ 1.88220784, -0.04337715])"
290,"array([ 1.74571346, -0.03900041])"
291,"array([1.92218254, 0.17722008])"
292,"array([ 1.86132764, -0.29907002])"
293,"array([2.00080863, 0.0685398 ])"
294,"array([ 1.77896144, -0.08753252])"
295,"array([ 1.80826492, -0.10058412])"
296,"array([ 1.79984185, -0.12313545])"
297,"array([ 2.00632499, -0.0866758 ])"
298,"array([ 2.09605261, -0.02420556])"
299,"array([ 2.21377857, -0.05678114])"
300,"array([ 2.11618989, -0.16672754])"
301,"array([2.08283497, 0.0337626 ])"
302,"array([1.92644377, 0.08806088])"
303,"array([ 2.12056671, -0.07721292])"
304,"array([1.84608717, 0.17063581])"
305,"array([ 2.08160827, -0.52313365])"
306,"array([ 2.35571345, -0.35690044])"
307,"array([ 2.08819089, -0.2855049 ])"
308,"array([ 2.36834092, -0.27850498])"
309,"array([ 2.33918479, -0.30810513])"
310,"array([ 2.29616912, -0.34638554])"
311,"array([ 2.22095374, -0.74815303])"
312,"array([ 2.08509334, -0.40794888])"
313,"array([ 2.17776493, -0.25412133])"
314,"array([ 2.1486496 , -0.36764193])"
315,"array([ 2.23844745, -0.38736217])"
316,"array([ 2.04576901, -0.49019841])"
317,"array([ 2.46729315, -0.55887446])"
318,"array([ 2.44224594, -0.63992805])"
319,"array([ 2.30505348, -0.5814934 ])"
320,"array([ 2.38226623, -0.70541289])"
321,"array([ 2.24529906, -0.22583001])"
322,"array([ 2.24936534, -0.36366921])"
