# index, _pos
151,"array([-0.08311536,  0.92142348])"
152,"array([0.01283527, 1.25743214])"
153,"array([-0.1265827,  1.3138672])"
154,"array([-0.14243135,  0.90831049])"
155,"array([-0.34438189,  1.30080822])"
156,"array([-0.23040094,  1.4124996 ])"
157,"array([-0.42736308,  1.30344988])"
158,"array([-0.18439762,  1.19118892])"
159,"array([-0.11155683,  1.27026043])"
160,"array([-0.24933275,  1.1468153 ])"
161,"array([-0.32543373,  1.32984769])"
162,"array([-0.19626758,  1.35081201])"
163,"array([-0.33451842,  1.05224363])"
164,"array([-0.27809001,  1.06220751])"
165,"array([-0.20314021,  1.14978621])"
166,"array([-0.26815083,  0.97897603])"
167,"array([-0.43240663,  1.08367982])"
168,"array([-0.37544852,  1.21269812])"
169,"array([-0.15167444,  1.42267547])"
170,"array([-0.45572697,  1.06069777])"
171,"array([-0.28734199,  1.26797568])"
172,"array([-0.083915  ,  1.20283934])"
173,"array([-0.071253  ,  1.13390554])"
174,"array([-0.44399765,  1.11691589])"
175,"array([-0.36400536,  1.07639558])"
176,"array([-0.41727195,  1.06405127])"
177,"array([-0.48844614,  1.12626557])"
178,"array([-0.11929166,  1.22649172])"
179,"array([-0.25258086,  1.27117908])"
180,"array([-0.30576809,  1.00836496])"
181,"array([-0.30215209,  0.9800215 ])"
182,"array([-0.31251984,  1.03310631])"
183,"array([-0.21743158,  1.05272085])"
184,"array([-0.31074913,  1.15061747])"
185,"array([-0.2512974 ,  1.20855032])"
186,"array([-0.0910424 ,  1.23911118])"
187,"array([-0.25149698,  0.93370788])"
188,"array([-0.18132515,  1.21993944])"
189,"array([-0.3957157 ,  0.78994338])"
190,"array([-0.26077361,  0.66267925])"
191,"array([-0.30279441,  0.73184721])"
192,"array([-0.04123832,  0.75897673])"
193,"array([-0.15080087,  0.88042456])"
194,"array([-0.05446471,  0.79123494])"
195,"array([-0.34981385,  0.66915528])"
196,"array([-0.30222076,  0.51516631])"
197,"array([-0.16171953,  0.43977764])"
198,"array([-0.18377644,  0.41088746])"
199,"array([-0.13699541,  0.74338867])"
200,"array([-0.21710104,  0.49638407])"
201,"array([-0.07930147,  0.72946073])"
202,"array([-0.21190646,  0.82478888])"
203,"array([-0.29024528,  0.46334577])"
204,"array([-0.24549755,  0.45010102])"
205,"array([-0.27808448,  0.43136668])"
206,"array([-0.25913513,  0.49732834])"
207,"array([-0.27785268,  0.53803386])"
208,"array([-0.10432405,  0.47358609])"
209,"array([-0.20807254,  0.54815192])"
210,"array([-0.23648091,  0.52597939])"
211,"array([-0.13886103,  0.40288475])"
212,"array([-0.27597047,  0.58945746])"
213,"array([-0.34242399,  0.70866772])"
214,"array([-0.25248387,  0.56452321])"
215,"array([-0.21673254,  0.43389239])"
216,"array([-0.198073  ,  0.46095068])"
217,"array([0.01335836, 0.6727142 ])"
218,"array([-0.31098972,  0.59087988])"
219,"array([0.04964925, 0.73025332])"
220,"array([-0.00499469,  0.44992096])"
221,"array([-0.03884857,  0.58110974])"
222,"array([0.00192937, 0.48117495])"
223,"array([0.0150841 , 0.51723433])"
224,"array([0.01290776, 0.59070205])"
225,"array([-0.00718702,  0.57028321])"
226,"array([0.07402151, 0.56491141])"
227,"array([0.06853854, 0.59300497])"
228,"array([0.15365384, 0.7608404 ])"
229,"array([-0.00948271,  0.75904012])"
230,"array([0.07740946, 0.67460848])"
231,"array([-0.07926923,  0.56944029])"
232,"array([-0.04141556,  0.49417009])"
233,"array([0.07744348, 0.50108592])"
234,"array([-0.05424675,  0.55145421])"
235,"array([-0.01181925,  0.53237839])"
236,"array([0.04642118, 0.46237691])"
237,"array([0.0379987, 0.532804 ])"
238,"array([0.06418976, 0.53455701])"
239,"array([0.02668617, 0.43786937])"
240,"array([-0.01740399,  0.50775978])"
241,"array([0.01239139, 0.55065017])"
242,"array([-0.13979432,  0.4957091 ])"
243,"array([0.03928729, 0.5903915 ])"
244,"array([-0.02883802,  0.55082897])"
245,"array([-0.01125079,  0.66375457])"
246,"array([0.04093617, 0.56114563])"
247,"array([0.07010166, 0.61902489])"
248,"array([0.08682912, 1.08110822])"
249,"array([0.10352493, 0.55107194])"
250,"array([-0.01604308,  0.78782805])"
251,"array([-0.02182846,  0.94695293])"
252,"array([0.05781035, 0.78464758])"
253,"array([0.04555815, 0.82142175])"
254,"array([0.12713365, 0.63569247])"
255,"array([0.26888087, 0.53341022])"
