# index, _pos
150,"array([-6.58409824, 10.65291086])"
151,"array([-7.49095047, 10.70201873])"
152,"array([-6.82044443, 10.19301125])"
153,"array([-7.59987615,  9.8944491 ])"
154,"array([-6.27897529, 10.07560776])"
155,"array([-7.58859035, 10.17056211])"
156,"array([-7.62819422, 10.39522202])"
157,"array([-6.69166686, 10.04097978])"
158,"array([-7.93236193, 10.03095909])"
159,"array([-6.73940774, 10.75919442])"
160,"array([-7.64033062,  9.97080876])"
161,"array([-7.7461836 , 10.35091598])"
162,"array([-7.43624678, 10.34219899])"
163,"array([-7.52997666,  9.95675951])"
164,"array([-7.69424742, 10.05603461])"
165,"array([-7.50235222, 10.22294203])"
166,"array([-7.08655036,  9.98044056])"
167,"array([-7.58714306, 10.67347346])"
168,"array([-7.83122924,  9.78030419])"
169,"array([-7.52203555, 10.41814744])"
170,"array([-6.73604459, 10.26882368])"
171,"array([-7.74551289,  9.56045388])"
172,"array([-7.55707678,  9.51453217])"
173,"array([-7.41743454,  9.929066  ])"
174,"array([-8.03227674, 10.01998119])"
175,"array([-7.64896697, 10.5952264 ])"
176,"array([-6.93413888,  9.71036268])"
177,"array([-7.22760134,  9.50847676])"
178,"array([-7.84038089, 10.09286992])"
179,"array([-6.84988942,  9.6505638 ])"
180,"array([-7.35162854, 10.07548964])"
181,"array([-6.85524116,  9.88082537])"
182,"array([-7.58503672, 10.07019146])"
183,"array([-7.109138  ,  9.67559348])"
184,"array([-7.58351267,  9.63842058])"
185,"array([-7.96428877,  9.90832157])"
186,"array([-6.80315956,  9.45977101])"
187,"array([-7.18340608, 10.67724661])"
188,"array([-7.1801488 ,  9.89838721])"
189,"array([-6.76274897, 10.55869514])"
190,"array([-6.70179207,  9.94306504])"
191,"array([-7.48785178,  9.85372695])"
192,"array([-6.88569127, 10.68174646])"
193,"array([-7.03084646,  9.24778715])"
194,"array([-7.10078815,  9.47348034])"
195,"array([-7.42969244, 10.76501281])"
196,"array([-7.16193144, 10.08450424])"
197,"array([-6.78249444, 10.08627514])"
198,"array([-7.0129459 ,  9.63100779])"
199,"array([-7.57697622,  9.79592378])"
200,"array([-7.40242004, 10.54250261])"
201,"array([-7.85328554,  9.5693073 ])"
202,"array([-6.82000044, 10.47221076])"
203,"array([-7.78113997,  9.68163084])"
204,"array([-7.4368853 , 10.03016209])"
205,"array([-7.71394343, 10.16626715])"
206,"array([-7.5079837 ,  9.41688006])"
207,"array([-7.48355419, 10.09296625])"
208,"array([-6.84694475, 10.56098792])"
209,"array([-7.50870222,  9.72166847])"
210,"array([-7.67824369,  9.7807962 ])"
211,"array([-7.90655103,  9.69964453])"
212,"array([-7.71501672, 10.25931858])"
213,"array([-7.54450319, 10.5927351 ])"
214,"array([-7.57666127, 10.5064137 ])"
215,"array([-7.4942077 , 10.51381339])"
216,"array([-6.63199827,  9.63180084])"
217,"array([-6.58365665, 10.01555234])"
218,"array([-7.01782182,  9.7526434 ])"
219,"array([-7.29643833,  9.93006391])"
220,"array([-7.66020167,  9.51291772])"
221,"array([-7.6319123 , 10.28874917])"
222,"array([-7.86774583, 10.2971484 ])"
223,"array([-6.92944937,  9.81456408])"
224,"array([-6.82884425,  9.79091489])"
225,"array([-6.78248935,  9.7256898 ])"
226,"array([-6.88546305,  9.98620462])"
227,"array([-8.0088519 ,  9.79947696])"
228,"array([-6.83958221, 10.27896213])"
229,"array([-6.97038948, 10.05069243])"
230,"array([-6.89372299, 10.09284789])"
231,"array([-6.72954849,  9.65535676])"
232,"array([-6.30818105,  9.98301758])"
233,"array([-5.79694195, 11.61752862])"
234,"array([-6.01527865, 11.0358354 ])"
235,"array([-5.95698339, 10.7475453 ])"
236,"array([-5.72373505, 10.83679626])"
237,"array([-5.76401201, 11.47720267])"
238,"array([-6.59530626, 10.98015535])"
239,"array([-6.56306516, 11.15567236])"
240,"array([-5.49383281, 11.45449866])"
241,"array([-5.81162683, 10.83583309])"
242,"array([-6.16826766, 10.93742556])"
243,"array([-6.0463176, 10.4429339])"
244,"array([-5.94354992, 11.3858526 ])"
245,"array([-6.40571187, 11.11347993])"
