# index, _pos
149,"array([  1.53279022, -24.45838613])"
150,"array([  2.07674165, -24.61064494])"
151,"array([  2.25182991, -25.32644628])"
152,"array([  2.5032986 , -24.81125073])"
153,"array([  2.77349771, -25.50752369])"
154,"array([  2.20584709, -25.34403609])"
155,"array([  1.68228923, -24.88552561])"
156,"array([  2.11376841, -24.75729788])"
157,"array([  3.18858507, -24.96969154])"
158,"array([  2.18895588, -25.24853963])"
159,"array([  2.83517657, -25.31857477])"
160,"array([  2.07532582, -25.71666779])"
161,"array([  3.03574171, -24.79315472])"
162,"array([  2.80068535, -24.5585844 ])"
163,"array([  2.80943008, -24.65871429])"
164,"array([  2.57620395, -25.46196803])"
165,"array([  1.86879123, -24.78760529])"
166,"array([  2.01773879, -25.81626038])"
167,"array([  2.6799742 , -24.93612117])"
168,"array([  2.09989178, -25.65138102])"
169,"array([  2.30283412, -25.47066962])"
170,"array([  2.21638513, -24.80012045])"
171,"array([  2.8753458 , -25.08327149])"
172,"array([  1.55740448, -25.51729426])"
173,"array([  1.5889862 , -25.34997411])"
174,"array([  1.70936413, -24.54979117])"
175,"array([  1.22076261, -24.90558112])"
176,"array([  2.03565274, -25.87074697])"
177,"array([  2.0769692 , -24.89451991])"
178,"array([  2.86799898, -25.68947873])"
179,"array([  2.06652718, -24.74935808])"
180,"array([  2.16920513, -25.5587859 ])"
181,"array([  2.9608832 , -25.21710712])"
182,"array([  2.26316633, -25.92577608])"
183,"array([  2.50535319, -25.51869739])"
184,"array([  2.13670774, -24.93546428])"
185,"array([  2.37650037, -25.82894247])"
186,"array([  1.54578496, -24.99439039])"
187,"array([  1.76950509, -25.64930025])"
188,"array([  2.20344322, -25.64484946])"
189,"array([  2.34001592, -25.74043961])"
190,"array([  2.78310557, -25.68321757])"
191,"array([  2.32474553, -25.83845617])"
192,"array([  1.97149141, -24.24040517])"
193,"array([  1.70040686, -25.30953599])"
194,"array([  2.72487044, -24.90754117])"
195,"array([  3.09797534, -24.60630562])"
196,"array([  1.76634792, -24.92852941])"
197,"array([  3.01619899, -25.28627615])"
198,"array([  2.1300921 , -24.39858522])"
199,"array([  1.92956679, -25.69277704])"
200,"array([  1.83606953, -25.30378426])"
201,"array([  2.12181458, -25.17086435])"
202,"array([  1.31970936, -24.89208558])"
203,"array([  1.55388789, -25.22911822])"
204,"array([  2.13708122, -25.22993748])"
205,"array([  2.35698377, -24.75789313])"
206,"array([  3.1744601 , -24.65802992])"
207,"array([  2.6620056 , -25.62392812])"
208,"array([  1.34451351, -25.07936862])"
209,"array([  1.33635143, -24.96530391])"
210,"array([  2.28356148, -24.87174077])"
211,"array([  2.33496878, -24.87751352])"
212,"array([  1.48523545, -24.544493  ])"
213,"array([  2.27819459, -24.80732268])"
214,"array([  1.4812202 , -25.20623606])"
215,"array([  2.07967701, -25.43565041])"
216,"array([  2.71370422, -25.04704859])"
217,"array([  2.38855663, -25.01545997])"
218,"array([  1.43099049, -25.57227408])"
219,"array([  1.65053087, -24.62121571])"
220,"array([  2.55438974, -25.05398555])"
221,"array([  2.96939243, -25.30126011])"
222,"array([  2.27912501, -24.6627979 ])"
223,"array([  1.65163459, -24.51540163])"
224,"array([  2.9227179 , -25.48018802])"
225,"array([  2.5167094 , -25.73528949])"
226,"array([  2.21316147, -24.60901644])"
227,"array([  1.71001225, -24.92358905])"
228,"array([  1.53306851, -25.31849979])"
229,"array([  1.51579668, -25.38576997])"
230,"array([  1.76658634, -25.12826197])"
231,"array([  1.40835594, -24.99624026])"
232,"array([  3.18457571, -24.73026884])"
233,"array([  2.75273874, -24.80415871])"
234,"array([  2.27635581, -25.72234137])"
235,"array([  1.65692418, -25.35691064])"
236,"array([  2.00126001, -25.27758379])"
237,"array([  3.08128437, -25.14841352])"
238,"array([  2.1796353 , -25.30502416])"
239,"array([  3.08209787, -25.29954975])"
240,"array([  2.25099225, -25.45613924])"
241,"array([  1.95275279, -24.79717444])"
242,"array([  2.09297914, -24.48514002])"
243,"array([  2.86980595, -25.14269781])"
244,"array([  2.23973979, -24.7598527 ])"
245,"array([  1.71772449, -24.98703394])"
246,"array([  1.97163513, -25.73522486])"
247,"array([  2.62180922, -25.7407986 ])"
248,"array([  2.84864345, -24.94194888])"
249,"array([  2.2661175 , -24.60202149])"
250,"array([  1.7802889 , -25.48684574])"
251,"array([  1.41192917, -25.32106777])"
252,"array([  2.06789729, -24.65663136])"
253,"array([  2.11714516, -24.8736815 ])"
254,"array([  2.17033853, -24.67596935])"
255,"array([  2.08689951, -24.94807104])"
256,"array([  1.99461609, -24.68571205])"
257,"array([  2.03756271, -24.92970821])"
258,"array([  2.12659635, -24.53418018])"
259,"array([  2.03568121, -24.27280215])"
260,"array([  1.7888408 , -24.59112334])"
261,"array([  1.59399149, -24.85521224])"
262,"array([  2.01190792, -24.7762353 ])"
263,"array([  1.94980111, -24.61172377])"
264,"array([  1.70078351, -25.56076307])"
265,"array([  1.78948635, -25.19928522])"
266,"array([  1.4071018, -25.2234449])"
267,"array([  2.85581795, -24.8267529 ])"
268,"array([  2.84083624, -25.1951236 ])"
269,"array([  1.97713978, -24.74297495])"
270,"array([  2.12360825, -24.66679678])"
271,"array([  2.12069824, -25.55095675])"
272,"array([  1.68935667, -24.47038829])"
273,"array([  1.73096791, -24.49560871])"
274,"array([  1.41094682, -24.68985092])"
275,"array([  2.13819067, -25.46254085])"
276,"array([  1.82789194, -25.46654461])"
277,"array([  2.35789035, -25.47257717])"
278,"array([  2.15512412, -25.05751758])"
279,"array([  1.95267362, -24.66160768])"
280,"array([  2.01617209, -24.594999  ])"
281,"array([  1.51209354, -24.76372459])"
282,"array([  2.80282031, -25.14243942])"
283,"array([  1.56177271, -25.05019881])"
284,"array([  2.70353458, -24.78858839])"
285,"array([  2.82540716, -24.50612913])"
286,"array([  2.93103844, -25.15301262])"
287,"array([  3.09216116, -25.22809614])"
288,"array([  3.11661654, -25.39242291])"
289,"array([  2.81533419, -24.73285391])"
290,"array([  3.11369427, -24.66721523])"
291,"array([  1.93816792, -25.4492126 ])"
292,"array([  2.21842533, -24.48283009])"
293,"array([  2.85747007, -25.03280261])"
294,"array([  1.65236495, -25.0792288 ])"
295,"array([  2.04614621, -24.34460643])"
296,"array([  1.44375624, -25.26592376])"
297,"array([  1.6744671 , -25.19339937])"
298,"array([  2.64826522, -25.22467811])"
299,"array([  1.96341004, -25.17907945])"
300,"array([  2.7883417, -25.2920285])"
301,"array([  2.93161923, -24.94645929])"
302,"array([  2.33224894, -24.81621319])"
303,"array([  2.49468473, -25.80168343])"
304,"array([  1.54464755, -24.88643613])"
305,"array([  1.77244009, -24.53754651])"
306,"array([  3.02665518, -25.17447054])"
307,"array([  2.84394082, -25.64609301])"
308,"array([  1.53629683, -25.09964535])"
309,"array([  1.96058691, -24.55049656])"
310,"array([  1.4092194 , -25.11319734])"
311,"array([  2.39412009, -25.362468  ])"
312,"array([  2.26303565, -25.80006242])"
313,"array([  2.57913537, -25.01198225])"
314,"array([  1.45138192, -24.76575505])"
315,"array([  1.69977712, -24.64388375])"
316,"array([  2.95774315, -24.99712099])"
317,"array([  2.79716993, -24.96648626])"
318,"array([  1.48154398, -25.08128458])"
319,"array([  1.56654781, -25.16647907])"
320,"array([  1.596935  , -25.10741042])"
321,"array([  2.09890121, -24.25874286])"
322,"array([  1.8910577 , -24.23204269])"
