# index, label, _pos
117,312250_w,"array([ 8.90205086, -7.90063085])"
118,608974_w,"array([ 8.80205646, -8.0890171 ])"
119,626755_w,"array([ 9.15904477, -7.61353677])"
120,1388_i,"array([ 5.91566305, -6.86315022])"
121,190245_w,"array([ 6.00705634, -7.45517729])"
122,14124_i,"array([ 6.68961569, -6.96328433])"
123,102601_w,"array([ 6.0926555 , -7.16360103])"
124,114363_w,"array([ 7.55338958, -7.14383476])"
125,17796_w,"array([ 6.03052208, -7.36293891])"
126,201084_w,"array([ 7.39120485, -6.90644688])"
127,219826_w,"array([ 6.66790677, -7.68375942])"
128,24772_w,"array([ 6.52484725, -7.88472369])"
129,280572_w,"array([ 7.07452447, -6.14612679])"
130,314595_w,"array([ 7.49930277, -7.01662689])"
131,322974_w,"array([ 7.32939367, -6.77223263])"
132,327703_w,"array([ 6.22147584, -7.11181195])"
133,525420_w,"array([ 6.54955316, -6.68358505])"
134,609558_w,"array([ 6.01755283, -5.8471805 ])"
135,67933_w,"array([ 6.97411939, -5.82493714])"
136,83317_w,"array([ 5.88225693, -7.37218594])"
137,1415_i,"array([8.1210736 , 3.41732112])"
138,254219_w,"array([8.35761623, 3.36309692])"
139,1443_i,"array([ 5.87578288, -5.62761911])"
140,14703_i,"array([ 5.74786385, -7.08553082])"
141,204546_w,"array([ 5.5583453 , -6.69168657])"
142,317953_w,"array([ 5.43974191, -7.19643151])"
143,322813_w,"array([ 6.18473915, -6.9736572 ])"
144,329380_w,"array([ 5.08392389, -7.17868813])"
145,334765_w,"array([ 6.50036066, -6.27006571])"
146,403761_w,"array([ 5.71074676, -8.11787685])"
147,492180_w,"array([ 5.83543011, -6.56101388])"
148,54156_w,"array([ 5.37222315, -6.71517931])"
149,1471_i,"array([ 3.64131615, -3.90832236])"
150,282811_w,"array([ 3.03297346, -3.6664858 ])"
151,303500_w,"array([ 3.07956961, -3.88502378])"
152,303603_w,"array([ 3.25176835, -3.75081688])"
153,303683_w,"array([ 3.21372059, -3.5454128 ])"
154,380846_w,"array([ 4.77022705, -4.38917077])"
155,1498_i,"array([ 13.71828708, -11.00399184])"
156,304597_w,"array([ 13.76949176, -10.76977662])"
157,14992_i,"array([ 7.01971861, -4.63842105])"
158,274488_w,"array([ 6.92162149, -5.18015978])"
159,302699_w,"array([ 6.02302372, -4.27994051])"
160,316110_w,"array([ 7.35534912, -4.212559  ])"
161,357050_w,"array([ 7.86160717, -5.14020243])"
162,609260_w,"array([ 6.94186309, -4.73127212])"
163,1523_i,"array([ 5.57416828, -7.45036047])"
164,110888_w,"array([ 6.28629143, -7.8805466 ])"
165,247012_w,"array([ 5.10755772, -8.14192409])"
166,271555_w,"array([ 5.27099238, -8.08565647])"
167,303020_w,"array([ 5.86071473, -7.55502649])"
