# index, _pos
143,"array([ 3.59428191, -3.74458424])"
144,"array([ 3.25321904, -3.67413099])"
145,"array([ 3.74461273, -3.70454346])"
146,"array([ 3.61783959, -3.58362299])"
147,"array([ 3.19922838, -3.69494542])"
148,"array([ 3.53618211, -3.87145114])"
149,"array([ 3.28353875, -3.68736652])"
150,"array([ 3.83315419, -3.87894958])"
151,"array([ 3.7182965 , -3.80096145])"
152,"array([ 3.123751  , -3.87107086])"
153,"array([ 3.49410081, -3.88831903])"
154,"array([ 3.17519682, -4.01340455])"
155,"array([ 3.58462327, -3.91965532])"
156,"array([ 3.25956609, -4.01849612])"
157,"array([ 3.41440741, -4.0528878 ])"
158,"array([ 3.47968765, -3.83452069])"
159,"array([ 3.67075104, -3.83196915])"
160,"array([ 3.42372704, -3.89782994])"
161,"array([ 3.75540832, -3.95374426])"
162,"array([ 3.865886  , -3.78992068])"
163,"array([ 3.84698382, -3.8410078 ])"
164,"array([ 3.41781247, -3.56697073])"
165,"array([ 3.81395762, -3.8513505 ])"
166,"array([ 3.40434719, -3.50094725])"
167,"array([ 3.51234471, -3.92610051])"
168,"array([ 3.64267097, -3.82245487])"
169,"array([ 3.82087501, -3.52963921])"
170,"array([ 3.72095593, -3.96013583])"
171,"array([ 3.71979592, -3.90656282])"
172,"array([ 3.60372737, -3.9512467 ])"
173,"array([ 3.40809747, -4.08205605])"
174,"array([ 3.76459894, -3.5979398 ])"
175,"array([ 3.8129937 , -3.73353832])"
176,"array([ 3.44338736, -4.12306628])"
177,"array([ 3.41704697, -3.63619433])"
178,"array([ 3.30448896, -3.69944181])"
179,"array([ 3.3506281 , -3.60251431])"
180,"array([ 3.83637114, -3.80847439])"
181,"array([ 3.35183598, -3.96051237])"
182,"array([ 3.5844664 , -4.15138514])"
183,"array([ 3.50971011, -4.00525564])"
184,"array([ 3.35578692, -3.8398226 ])"
185,"array([ 3.50203716, -3.97516145])"
186,"array([ 3.02648885, -3.69985598])"
187,"array([ 3.79961856, -3.78816703])"
188,"array([ 3.47507384, -4.03409952])"
189,"array([ 3.45137245, -4.06132239])"
190,"array([ 3.48111472, -4.00312752])"
191,"array([ 3.37021149, -3.64672443])"
192,"array([ 3.68617277, -3.53171746])"
193,"array([ 3.55057054, -4.0650272 ])"
194,"array([ 3.23887503, -3.85983159])"
195,"array([ 3.18644539, -3.57222711])"
196,"array([ 3.78843784, -3.70280725])"
197,"array([ 3.48593182, -4.11235259])"
198,"array([ 3.18112893, -3.93712013])"
199,"array([ 3.18780895, -3.96823734])"
200,"array([ 3.45128603, -3.91666849])"
201,"array([ 3.7579703 , -3.79132657])"
202,"array([ 3.2467598 , -3.88378061])"
203,"array([ 3.29550556, -4.05583075])"
204,"array([ 3.41171917, -4.02470055])"
205,"array([ 3.79939733, -3.82207895])"
206,"array([ 3.34245475, -3.98080724])"
207,"array([ 3.54500997, -4.17227035])"
208,"array([ 3.75843534, -3.63337869])"
209,"array([ 3.15900649, -3.95182497])"
210,"array([ 3.58555118, -4.11937799])"
211,"array([ 3.39344211, -3.89528472])"
212,"array([ 3.66630272, -3.76110057])"
213,"array([ 3.72334056, -3.99311174])"
214,"array([ 3.65701939, -3.70675805])"
215,"array([ 3.67136492, -3.73236925])"
216,"array([ 3.31420481, -3.43875827])"
217,"array([ 3.36598401, -3.9263072 ])"
218,"array([ 3.23290745, -3.48085762])"
219,"array([ 3.48155484, -3.63066952])"
220,"array([ 3.43041428, -3.73723376])"
221,"array([ 3.12476334, -3.58375058])"
222,"array([ 3.57858389, -3.96619359])"
223,"array([ 3.7987594 , -3.89781074])"
224,"array([ 3.33475068, -3.45629482])"
225,"array([ 3.69904437, -3.93667709])"
