# index, _pos
143,"array([ 2.97812122, -0.29282344])"
144,"array([ 3.25667755, -0.76026189])"
145,"array([ 2.88839946, -0.71390831])"
146,"array([ 3.32279146, -0.51198487])"
147,"array([ 3.13196847, -0.83426664])"
148,"array([ 3.11810088, -0.53677643])"
149,"array([ 2.96441712, -0.76920747])"
150,"array([ 3.11336378, -1.01955602])"
151,"array([ 3.17646208, -0.65362457])"
152,"array([ 3.17214861, -0.37720785])"
153,"array([ 2.98771178, -0.91177119])"
154,"array([ 3.1603676 , -0.92838932])"
155,"array([ 2.85751624, -0.51071166])"
156,"array([ 2.98080966, -0.72875036])"
157,"array([ 2.77397823, -0.73227453])"
158,"array([ 3.28323985, -0.43659775])"
159,"array([ 2.78286749, -0.59787194])"
160,"array([ 2.92760883, -0.79860134])"
161,"array([ 2.83680348, -0.46905978])"
162,"array([ 3.04534917, -0.74875462])"
163,"array([ 3.03952373, -0.887028  ])"
164,"array([ 2.94860741, -0.67272762])"
165,"array([ 3.46514304, -1.00490653])"
166,"array([ 2.95383175, -0.99145435])"
167,"array([ 3.22754633, -0.37576906])"
168,"array([ 3.43440831, -0.93310042])"
169,"array([ 3.28043771, -0.99522447])"
170,"array([ 3.36349707, -0.46870819])"
171,"array([ 3.09918391, -0.26516092])"
172,"array([ 2.99622125, -0.93651714])"
173,"array([ 3.23833975, -0.58123124])"
174,"array([ 2.97513523, -0.97124773])"
175,"array([ 2.8382262 , -0.74284921])"
176,"array([ 3.17381401, -0.95680531])"
177,"array([ 2.92687383, -0.36524072])"
178,"array([ 3.3861631 , -0.60305465])"
179,"array([ 3.40529626, -0.91903911])"
180,"array([ 3.34063115, -0.47886376])"
181,"array([ 3.10607715, -0.30409358])"
182,"array([ 3.40954933, -0.5468044 ])"
183,"array([ 3.10662675, -0.51222991])"
184,"array([ 3.18828447, -0.58137079])"
185,"array([ 2.93976568, -0.87246598])"
186,"array([ 3.26280134, -0.57509521])"
187,"array([ 3.19004593, -0.26199883])"
188,"array([ 3.05866879, -0.79246329])"
189,"array([ 2.95019547, -0.7887605 ])"
190,"array([ 2.95599808, -0.91527354])"
191,"array([ 2.88979895, -0.81619336])"
192,"array([ 3.1989314 , -0.98558195])"
193,"array([ 2.89406794, -0.79350397])"
194,"array([ 3.19153721, -0.52863268])"
195,"array([ 2.9110764 , -0.56211292])"
196,"array([ 3.19495877, -0.48020025])"
197,"array([ 3.29521965, -0.93059204])"
198,"array([ 3.32832057, -0.55521831])"
199,"array([ 3.06657186, -0.9271553 ])"
200,"array([ 2.83984281, -0.52873525])"
201,"array([ 2.86450111, -0.40711399])"
202,"array([ 2.93699513, -0.69576307])"
203,"array([ 3.23838036, -0.93643314])"
204,"array([ 3.20512071, -0.95509204])"
205,"array([ 2.88748818, -0.54645327])"
206,"array([ 2.78617034, -0.75454815])"
207,"array([ 2.89718023, -0.75621665])"
208,"array([ 3.22959986, -1.00184076])"
209,"array([ 2.89896803, -0.6115172 ])"
210,"array([ 3.0180938 , -0.24935033])"
211,"array([ 3.21558066, -0.76156728])"
212,"array([ 2.85406872, -0.85209671])"
213,"array([ 2.84093742, -0.65195068])"
214,"array([ 3.11578799, -0.87262088])"
215,"array([ 3.1123559 , -0.95259292])"
216,"array([ 3.13929187, -0.94395164])"
217,"array([ 3.26524683, -0.32962007])"
218,"array([ 2.9610341 , -0.41916198])"
219,"array([ 3.11030827, -1.07550745])"
220,"array([ 3.4904852 , -0.63430617])"
221,"array([ 3.18610334, -0.7747193 ])"
222,"array([ 3.29238817, -0.65262635])"
223,"array([ 3.1722497 , -0.72071641])"
224,"array([ 2.98833631, -0.48898206])"
225,"array([ 3.13111364, -0.26044497])"
226,"array([ 3.18768614, -0.39961883])"
227,"array([ 3.00525552, -1.01809262])"
228,"array([ 3.26238376, -0.90622823])"
229,"array([ 3.19197094, -0.93052246])"
230,"array([ 2.87038222, -0.9495976 ])"
231,"array([ 3.03670104, -1.00565617])"
232,"array([ 3.0165592 , -0.35973882])"
233,"array([ 2.9139599 , -0.74168989])"
234,"array([ 3.01125859, -0.89456023])"
235,"array([ 2.95738927, -0.7051993 ])"
236,"array([ 3.21929651, -0.53259699])"
237,"array([ 3.14468092, -1.01118734])"
238,"array([ 3.32232708, -1.01798501])"
239,"array([ 3.2030314 , -0.85582424])"
240,"array([ 3.25504518, -0.51160278])"
241,"array([ 2.83550449, -0.81870919])"
242,"array([ 3.03759427, -0.85564024])"
243,"array([ 3.20951913, -1.05013602])"
244,"array([ 3.10814068, -0.98396532])"
245,"array([ 3.13793246, -0.97842244])"
246,"array([ 3.41894099, -0.65142891])"
247,"array([ 3.29054837, -0.961112  ])"
248,"array([ 2.9727242 , -0.80245021])"
249,"array([ 3.14137784, -1.08046638])"
250,"array([ 3.20053489, -0.66470592])"
251,"array([ 3.06857468, -0.90047779])"
252,"array([ 3.50159031, -0.86152631])"
253,"array([ 3.38259488, -0.96897802])"
254,"array([ 3.31974801, -0.94178473])"
255,"array([ 3.4386124 , -0.78729588])"
256,"array([ 3.41410236, -0.81750075])"
257,"array([ 3.15283943, -1.12449518])"
258,"array([ 3.35270285, -0.99033548])"
259,"array([ 3.42057015, -0.52216953])"
260,"array([ 2.96680149, -1.02133228])"
