# index, label, _pos
121,320207_w,"array([-1.52576784, -6.2631234 ])"
122,323447_w,"array([-1.9539542 , -7.42464418])"
123,329728_w,"array([-2.04590329, -7.06569748])"
124,341135_w,"array([-1.0195735, -6.8128457])"
125,347576_w,"array([-1.12892678, -7.26990805])"
126,359599_w,"array([-1.68739032, -7.22241542])"
127,426990_w,"array([-1.4717592, -6.904974 ])"
128,43685_w,"array([-2.19275532, -6.34961675])"
129,43926_w,"array([-1.14508649, -7.19320085])"
130,46279_w,"array([-1.13817123, -6.76483766])"
131,46505_w,"array([-1.3217212 , -6.74386872])"
132,4664_w,"array([-1.76377648, -6.29517756])"
133,471189_w,"array([-2.05232815, -7.42270344])"
134,47434_w,"array([-1.31126684, -6.41904698])"
135,48111_w,"array([-1.71801808, -7.34050323])"
136,482489_w,"array([-1.88340582, -7.34203902])"
137,484640_w,"array([-1.76289394, -7.1425091 ])"
138,488370_w,"array([-1.84694954, -7.1635965 ])"
139,492704_w,"array([-1.45250849, -7.00018387])"
140,543051_w,"array([-1.38478634, -6.89629264])"
141,60555_w,"array([-1.79367373, -7.3894492 ])"
142,615759_w,"array([-1.24991198, -6.8160666 ])"
143,625112_w,"array([-1.7018245 , -7.13328932])"
144,63333_w,"array([-2.22455158, -5.50647732])"
145,67442_w,"array([-1.63313342, -6.49614695])"
146,699857_w,"array([-2.04770046, -7.16124293])"
147,700770_w,"array([-2.06143873, -7.25453033])"
148,702110_w,"array([-2.00080647, -6.8778376 ])"
149,702111_w,"array([-1.86698883, -7.44461862])"
150,75193_w,"array([-2.19736643, -7.06640028])"
151,14695_i,"array([-3.22836026,  1.20297858])"
152,329512_w,"array([-3.40003949,  1.12590162])"
153,86646_w,"array([-3.05854707,  1.2779784 ])"
154,15271_i,"array([-1.34947506, -6.99871203])"
155,331191_w,"array([-1.47260374, -7.5263269 ])"
156,15_i,"array([-1.32007793, -7.12485291])"
157,205423_w,"array([-1.17602996, -7.04176194])"
158,280671_w,"array([-1.06268023, -7.32242233])"
159,334085_w,"array([-1.11631907, -7.5738017 ])"
160,471208_w,"array([-0.8939153 , -7.13210141])"
161,569033_w,"array([-1.35382202, -7.52108655])"
162,610631_w,"array([-1.41234382, -7.77227598])"
163,16141_i,"array([-1.68354615, -6.02168329])"
164,257723_w,"array([-1.71998145, -6.44456157])"
165,258829_w,"array([-2.02588712, -6.09378561])"
166,313580_w,"array([-1.45620131, -5.95536266])"
167,315426_w,"array([-1.76923487, -5.98484744])"
168,325027_w,"array([-2.05709602, -5.97712189])"
169,333189_w,"array([-1.5209584 , -6.13021121])"
170,365418_w,"array([-1.07760758, -6.07188492])"
171,394196_w,"array([-2.02248358, -5.86595122])"
172,397330_w,"array([-2.1381944 , -6.05714367])"
173,49035_w,"array([-1.79803712, -5.68893215])"
174,500382_w,"array([-1.54443159, -5.57084713])"
175,620972_w,"array([-1.88829132, -5.74238026])"
176,693888_w,"array([-1.85122894, -6.2442427 ])"
177,700637_w,"array([-1.54776281, -6.01825221])"
178,702793_w,"array([-1.53151312, -5.86464911])"
179,703957_w,"array([-1.84966231, -6.1223704 ])"
180,72992_w,"array([-1.74530337, -5.84588906])"
181,16434_i,"array([-2.75179675, -6.466276  ])"
182,146236_w,"array([-2.92782312, -6.71591042])"
183,277830_w,"array([-3.00344969, -6.09860253])"
184,303677_w,"array([-3.62790433, -6.78558591])"
185,332554_w,"array([-3.02358   , -6.33411659])"
186,332615_w,"array([-3.07812724, -6.42638707])"
187,476542_w,"array([-3.07900152, -6.57196536])"
188,55517_w,"array([-3.07870544, -6.04199343])"
189,596257_w,"array([-2.89628722, -6.59485522])"
190,699520_w,"array([-3.16307738, -6.43567484])"
191,75843_w,"array([-2.99743056, -6.63359159])"
192,84613_w,"array([-3.13159667, -6.30338775])"
193,16723_i,"array([-1.63467226, -4.37563736])"
194,147474_w,"array([-1.69924995, -4.67491614])"
195,229342_w,"array([-1.16695847, -5.03667761])"
196,256047_w,"array([-1.75330742, -4.28978911])"
197,257591_w,"array([-1.40218296, -4.50742989])"
198,266351_w,"array([-2.01247013, -3.95071477])"
199,283931_w,"array([-1.42587803, -4.11325379])"
200,300921_w,"array([-1.26821324, -3.99277856])"
201,322806_w,"array([-1.38451119, -3.98990193])"
202,324116_w,"array([-1.43856639, -3.89948465])"
203,324704_w,"array([-1.55646314, -3.91165597])"
204,332042_w,"array([-1.55373022, -3.79268768])"
205,332102_w,"array([-1.31891254, -3.89582035])"
206,367395_w,"array([-1.63765874, -3.86274682])"
207,407770_w,"array([-2.07186823, -5.08810119])"
208,424176_w,"array([-1.71948414, -4.06557797])"
209,441111_w,"array([-1.84673162, -4.48267913])"
210,457074_w,"array([-1.30689535, -4.71829001])"
211,576225_w,"array([-2.23281075, -3.82948989])"
212,578244_w,"array([-1.76337502, -3.8983564 ])"
213,61719_w,"array([-2.12763044, -5.52373073])"
214,629023_w,"array([-1.42278866, -3.58424428])"
215,629536_w,"array([-1.71586815, -4.5173988 ])"
216,17021_i,"array([-0.58724053, -7.15493884])"
217,141323_w,"array([-0.81228381, -6.68415966])"
218,204335_w,"array([-0.5584741 , -6.70446093])"
219,207514_w,"array([-0.60346726, -6.74128438])"
220,261984_w,"array([-0.18686391, -7.37135382])"
221,265061_w,"array([-0.15021532, -7.67989888])"
222,273899_w,"array([-0.27243083, -7.22949224])"
223,301588_w,"array([-0.74497326, -6.78341338])"
224,332739_w,"array([ 0.04316542, -7.71222418])"
225,392921_w,"array([-0.46734945, -7.34687547])"
226,404350_w,"array([-0.97651306, -7.21418079])"
227,432616_w,"array([-0.59851541, -7.26317301])"
228,443884_w,"array([-0.72732414, -7.26136167])"
229,451617_w,"array([-0.99861121, -6.90472558])"
230,51365_w,"array([-0.06789495, -7.70913923])"
231,58494_w,"array([-0.03491212, -6.90059294])"
232,588567_w,"array([-1.21968537, -6.8851739 ])"
233,590707_w,"array([-0.10358834, -7.39894936])"
234,597746_w,"array([-0.78868159, -7.22299899])"
235,605225_w,"array([-0.7715054 , -7.15095487])"
236,611439_w,"array([-0.60032892, -7.48909713])"
237,622510_w,"array([-0.53293529, -7.16069185])"
238,83068_w,"array([-0.05305008, -7.61417778])"
239,8557_w,"array([-0.61530714, -7.20660206])"
240,86196_w,"array([-0.22193938, -7.7437662 ])"
241,17558_i,"array([-2.63303826, -5.19782593])"
242,397952_w,"array([-2.87614448, -4.93860121])"
243,17822_i,"array([ 0.38048944, -3.69519285])"
244,458168_w,"array([ 0.03082385, -3.99669464])"
245,1813_i,"array([ 0.243061  , -3.88769707])"
246,539986_w,"array([-0.05885164, -4.24870655])"
247,18324_i,"array([-3.33836008, -5.21946827])"
248,197034_w,"array([-2.63494485, -5.82635538])"
249,278257_w,"array([-3.74942078, -5.00301646])"
250,587928_w,"array([-3.79589824, -4.83605677])"
251,62396_w,"array([-3.86496634, -4.94690749])"
252,62623_w,"array([-3.82030346, -5.14530132])"
253,699773_w,"array([-3.6795478 , -4.86856931])"
254,700462_w,"array([-3.91285963, -5.07094716])"
255,71354_w,"array([-2.95853537, -4.82292709])"
