# index, _pos
157,"array([3.56887675, 4.43670517])"
158,"array([3.24627391, 4.58922849])"
159,"array([3.27814002, 4.52760935])"
160,"array([3.19931278, 4.51817612])"
161,"array([3.54016884, 4.43975545])"
162,"array([3.2597651 , 4.65894981])"
163,"array([3.52756833, 4.4203247 ])"
164,"array([3.43850521, 4.37790189])"
165,"array([3.28391835, 4.55348428])"
166,"array([3.32495322, 4.60267844])"
167,"array([3.30473284, 4.44843605])"
168,"array([3.41281756, 4.35835676])"
169,"array([3.32752789, 4.62455171])"
170,"array([3.27702422, 4.67709455])"
171,"array([3.34271452, 4.33841674])"
172,"array([3.31506122, 4.4915308 ])"
173,"array([3.30680278, 4.47225269])"
174,"array([3.45029997, 4.53775728])"
175,"array([3.36783961, 4.38165774])"
176,"array([3.3039832 , 4.61850226])"
177,"array([3.27058413, 4.50961416])"
178,"array([3.39083925, 4.54791582])"
179,"array([3.3909753 , 4.51141564])"
180,"array([3.11761054, 4.56543897])"
181,"array([3.12694133, 4.43621781])"
182,"array([3.33146623, 4.51566167])"
183,"array([3.41246499, 4.56293462])"
184,"array([3.26112356, 4.41456916])"
185,"array([3.1770063, 4.4344497])"
186,"array([3.15469189, 4.58859202])"
187,"array([3.3721897 , 4.57478091])"
188,"array([3.34872954, 4.67663638])"
189,"array([3.29433836, 4.63733052])"
190,"array([3.2319634 , 4.45587596])"
191,"array([3.36278509, 4.59269109])"
192,"array([3.34998085, 4.6376733 ])"
193,"array([3.29851123, 4.59780223])"
194,"array([3.51913654, 4.47620672])"
195,"array([3.3150116 , 4.70979394])"
196,"array([3.20321126, 4.66900903])"
197,"array([3.50930881, 4.52506807])"
198,"array([3.25818883, 4.38542348])"
199,"array([3.19897441, 4.42263662])"
200,"array([3.47885358, 4.49621951])"
201,"array([3.50193894, 4.45591424])"
202,"array([3.3878978 , 4.59237584])"
203,"array([3.37629604, 4.63169919])"
204,"array([3.2637367 , 4.55956183])"
205,"array([3.21726459, 4.68794327])"
206,"array([3.36868869, 4.42779045])"
207,"array([3.27955271, 4.39085778])"
208,"array([3.45423496, 4.49880487])"
209,"array([3.10680005, 4.5379218 ])"
210,"array([3.48641515, 4.41399458])"
211,"array([3.1367681 , 4.53003194])"
212,"array([3.44234045, 4.4248764 ])"
213,"array([3.39129088, 4.34769624])"
214,"array([3.14728231, 4.55676078])"
215,"array([3.20280009, 4.49311193])"
216,"array([3.25335936, 4.43458212])"
217,"array([3.27733869, 4.60049184])"
218,"array([3.45761721, 4.64195806])"
219,"array([3.18164508, 4.55200699])"
220,"array([3.33747459, 4.47143403])"
221,"array([3.22122729, 4.47901069])"
222,"array([3.2686176 , 4.31765923])"
223,"array([3.16994993, 4.63092065])"
224,"array([3.47138609, 4.3469921 ])"
225,"array([3.18162163, 4.50550848])"
226,"array([3.11765014, 4.4767991 ])"
227,"array([3.29727829, 4.69305447])"
228,"array([3.33633557, 4.57326118])"
229,"array([3.29899571, 4.57450127])"
230,"array([3.31783452, 4.58276405])"
231,"array([3.40785391, 4.48924765])"
232,"array([3.41850551, 4.43905414])"
233,"array([3.3595638 , 4.36379989])"
234,"array([3.39715477, 4.40805045])"
235,"array([3.31482758, 4.40003158])"
236,"array([3.31485284, 4.64471686])"
237,"array([3.16132579, 4.66109729])"
238,"array([3.44676587, 4.4471746 ])"
239,"array([3.33332708, 4.49086403])"
240,"array([3.24553513, 4.55100205])"
241,"array([3.77632583, 4.62045136])"
242,"array([3.6034631 , 4.33787146])"
243,"array([3.57015934, 4.57845572])"
244,"array([3.71483423, 4.37652693])"
245,"array([3.88586118, 4.56099067])"
246,"array([3.83184129, 4.68532331])"
247,"array([3.6274884 , 4.54989462])"
248,"array([3.55112932, 4.60211845])"
249,"array([3.86467511, 4.49346841])"
250,"array([3.68606808, 4.44072815])"
251,"array([3.71153571, 4.43956148])"
252,"array([3.87337203, 4.62618106])"
253,"array([3.87945503, 4.5148279 ])"
254,"array([3.64310173, 4.40068366])"
255,"array([3.62157133, 4.62300149])"
256,"array([3.70167582, 4.55681797])"
257,"array([3.78567835, 4.55138371])"
258,"array([3.70189084, 4.48722163])"
259,"array([3.65733936, 4.48335587])"
260,"array([3.83302198, 4.59796017])"
261,"array([3.8287258 , 4.47819344])"
262,"array([3.77314028, 4.4749166 ])"
263,"array([3.54640827, 4.47212555])"
264,"array([3.75653359, 4.57114069])"
