# source, target, direction, screens, assays, database, reference, exp_direct, exp_indirect, comment
2346,154,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2346,737,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2346,787,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2350,30,ad->db,"Screen_1,Screen_2,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:0397;MI:1112,None,FBrf0235788 is part of FlyBi data
2350,2351,ad->db,"Screen_2,","Cen X Cen,",None,None,None,None,None
2352,2353,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2352,410,ad->db,"Screen_3,Screen_4,","Cen X 2u,",None,None,None,None,None
2354,1456,ad->db,"Screen_3,Screen_4,","Cen X 2u,",None,None,None,None,None
2355,264,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2355,438,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2355,404,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2355,136,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2355,133,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2355,703,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2355,378,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2356,2357,ad->db,"Screen_1,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:0397;MI:1112,None,FBrf0235788 is part of FlyBi data
2356,1241,ad->db,"Screen_1,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:0397;MI:1112,None,FBrf0235788 is part of FlyBi data
2356,405,ad->db,"Screen_1,","Cen X Cen,",DroID;FlyBase,FBrf0235788,MI:0018,None,FBrf0235788 is part of FlyBi data
2356,1855,ad->db,"Screen_1,","Cen X Cen,",DroID;FlyBase,FBrf0235788,MI:0018,None,FBrf0235788 is part of FlyBi data
2356,641,ad->db,"Screen_1,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:1112;MI:0397,None,FBrf0235788 is part of FlyBi data
