# source, target, direction, screens, assays, database, reference, exp_direct, exp_indirect, comment
2232,131,ad->db,"Screen_1,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:0397;MI:1112,None,FBrf0235788 is part of FlyBi data
2232,94,ad->db,"Screen_1,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:0397;MI:1112,None,FBrf0235788 is part of FlyBi data
2232,2233,ad->db,"Screen_1,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:1112;MI:0397,None,FBrf0235788 is part of FlyBi data
2232,304,ad->db,"Screen_1,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:0397;MI:1112,None,FBrf0235788 is part of FlyBi data
2232,388,ad->db,"Screen_1,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:0397;MI:1112,None,FBrf0235788 is part of FlyBi data
2232,1267,ad->db,"Screen_2,","Cen X Cen,",None,None,None,None,None
2232,631,ad->db,"Screen_2,","Cen X Cen,",None,None,None,None,None
2232,429,ad->db,"Screen_2,","Cen X Cen,",None,None,None,None,None
2232,282,ad->db,"Screen_2,","Cen X Cen,",None,None,None,None,None
2234,538,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2235,259,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2235,91,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2235,425,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2235,634,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2235,94,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2236,386,ad->db,"Screen_1,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:0397;MI:1112,None,FBrf0235788 is part of FlyBi data
2236,821,ad->db,"Screen_2,","Cen X Cen,",None,None,None,None,None
2237,111,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2238,264,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2238,121,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2238,131,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2238,59,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2238,404,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2238,688,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2238,365,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2238,552,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2240,337,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2244,86,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2246,2246,fbgn1=fbgn2,"Screen_1,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:0397;MI:1112,None,FBrf0235788 is part of FlyBi data
2246,2247,ad->db,"Screen_1,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:1112;MI:0397,None,FBrf0235788 is part of FlyBi data
2246,2248,ad->db,"Screen_1,Screen_2,","Cen X Cen,",DroID;FlyBase,FBrf0235788,MI:0018,None,FBrf0235788 is part of FlyBi data
2246,398,ad->db,"Screen_1,Screen_2,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:1112;MI:0397,None,FBrf0235788 is part of FlyBi data
2249,524,ad->db,"Screen_3,Screen_4,","Cen X 2u,",None,None,None,None,None
2250,2251,ad->db,"Screen_2,","Cen X Cen,",None,None,None,None,None
2252,2253,ad->db,"Screen_3,","Cen X 2u,",DroID;FlyBase;BioGrid,19001129,MI:0018,None,None
2254,452,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2255,426,ad->db,"Screen_1,","Cen X Cen,",None,None,None,None,None
2255,2255,fbgn1=fbgn2,"Screen_1,Screen_2,","Cen X Cen,",BioGrid;DIP;DroID;FlyBase;IntAct;mentha,25144193;14605208;22813737;12783845;14715275;FBrf0235788,MI:0397;MI:1112;MI:0018,MI:0096;MI:0705;MI:0007;MI:0113;MI:0004;MI:0019,FBrf0235788 is part of FlyBi data
2257,2258,ad->db,"Screen_1,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:0397;MI:1112,None,FBrf0235788 is part of FlyBi data
2258,394,ad->db,"Screen_2,","Cen X Cen,",None,None,None,None,None
2258,2372,ad->db,"Screen_2,Screen_4,","Cen X 2u,Cen X Cen,",None,None,None,None,None
2258,348,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2258,824,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2258,81,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2258,2373,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2258,77,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2258,2258,fbgn1=fbgn2,"Screen_4,","Cen X 2u,",None,None,None,None,None
2259,33,ad->db,"Screen_1,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:0397;MI:1112,None,FBrf0235788 is part of FlyBi data
2260,627,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2261,2262,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2263,2264,ad->db,"Screen_2,","Cen X Cen,",None,None,None,None,None
2265,2265,fbgn1=fbgn2,"Screen_1,Screen_2,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:1112;MI:0397,None,FBrf0235788 is part of FlyBi data
2266,2266,fbgn1=fbgn2,"Screen_1,Screen_2,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:1112;MI:0397,None,FBrf0235788 is part of FlyBi data
2267,175,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2267,476,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2268,832,ad->db,"Screen_4,","Cen X 2u,",DroID,22036573,None,MI:0007,None
2269,154,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2269,109,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2276,2275,ad->db,"Screen_1,","Cen X Cen,",DroID;BioGrid;mentha;FlyBase;IntAct,FBrf0218395;22036573;FBrf0235788,MI:0397;MI:1112;MI:0018,MI:0943;MI:0007;MI:0046,FBrf0235788 is part of FlyBi data
2276,1610,both,"Screen_1,Screen_2,","Cen X Cen,",DroID;BioGrid;mentha;FlyBase;IntAct,FBrf0218395;22036573;FBrf0235788,MI:0397;MI:1112;MI:0018,MI:0943;MI:0007;MI:0046,FBrf0235788 is part of FlyBi data
2276,2274,ad->db,"Screen_1,Screen_2,","Cen X Cen,",DroID;mentha;FlyBase;IntAct,22036573;FBrf0235788,MI:0397;MI:1112;MI:0018,MI:0007,FBrf0235788 is part of FlyBi data
2276,2277,both,"Screen_1,Screen_2,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:0397;MI:1112,None,FBrf0235788 is part of FlyBi data
2277,2275,both,"Screen_1,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:0397;MI:1112,None,FBrf0235788 is part of FlyBi data
2277,1610,both,"Screen_1,Screen_2,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:0397;MI:1112,None,FBrf0235788 is part of FlyBi data
2277,2274,ad->db,"Screen_1,Screen_2,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:0397;MI:1112,None,FBrf0235788 is part of FlyBi data
