# index, name, _pos
0,NGR_c00010,"array([ 2.08163295, -0.54507593])"
1,NGR_c19160,"array([ 1.76578511, -0.39795464])"
2,NGR_c00100,"array([ 4.78967368, -0.13637231])"
3,NGR_c26850,"array([ 4.7176283 , -0.47886161])"
4,NGR_c11120,"array([ 4.5467463 , -0.25921627])"
5,NGR_c21340,"array([ 4.4633464 , -0.49195054])"
6,NGR_c00830,"array([ 4.93255214, -0.43494918])"
7,NGR_c10180,"array([ 0.15154712, 20.70243676])"
8,NGR_c05250,"array([ 0.45513693, 20.90567577])"
9,NGR_c10190,"array([-2.50451376,  9.37098296])"
10,NGR_c00740,"array([-2.14942443,  9.73556549])"
11,NGR_c01510,"array([-1.84605404,  8.9816514 ])"
12,NGR_c10200,"array([-2.69692475,  9.8737997 ])"
13,NGR_c25370,"array([-2.82951699,  9.64883513])"
14,NGR_c29260,"array([-1.95131993,  9.61784883])"
15,NGR_c10250,"array([-0.313278  ,  6.82841503])"
16,NGR_c21590,"array([-0.28915349,  7.35855716])"
17,NGR_c01670,"array([-0.12390192,  7.41067608])"
18,NGR_c01690,"array([-0.32780597,  6.56863346])"
19,NGR_c21580,"array([-0.01512255,  7.09222067])"
20,NGR_c10910,"array([-0.51696097,  6.68531061])"
21,NGR_c26080,"array([-0.1537152 ,  7.06893257])"
22,NGR_c04900,"array([-0.4874224 ,  6.53470507])"
23,NGR_c10280,"array([-0.15140679, 10.96540723])"
24,NGR_c01560,"array([-0.29070187, 10.94173841])"
25,NGR_c13070,"array([-0.54386338, 11.71769214])"
26,NGR_c28640,"array([ 0.17800891, 10.05042378])"
27,NGR_c33880,"array([-5.73592531e-03,  1.10306074e+01])"
28,NGR_c14880,"array([0.12432466, 9.96961706])"
29,NGR_c05340,"array([ 0.02485208, 10.53676972])"
30,NGR_c18460,"array([ 0.14830147, 10.62239008])"
31,NGR_c13180,"array([-0.32603638, 10.54806214])"
32,NGR_c36850,"array([-0.39053812, 10.67842532])"
33,NGR_c18290,"array([ 0.22834698, 10.72897025])"
34,NGR_c14020,"array([-0.29302646, 10.77979254])"
35,NGR_c14980,"array([-0.47362101, 10.74791914])"
36,NGR_c30540,"array([ 0.2837594 , 10.65036193])"
37,NGR_c10330,"array([-4.35651297, 11.53873061])"
38,NGR_c13620,"array([-3.64399552, 11.2940106 ])"
39,NGR_c10410,"array([11.99479882,  6.92350421])"
40,NGR_c02570,"array([12.45374515,  7.26746811])"
41,NGR_c02560,"array([12.60933225,  7.22240329])"
42,NGR_c30840,"array([12.19120983,  7.17778098])"
43,NGR_c02550,"array([12.30292011,  7.21116114])"
44,NGR_c35180,"array([12.3256515,  7.3402553])"
45,NGR_c27590,"array([11.94711882,  7.08582089])"
46,NGR_c20840,"array([12.10658085,  7.08674912])"
47,NGR_c35170,"array([12.46852242,  7.12347155])"
48,NGR_c35160,"array([12.22289926,  6.99937937])"
49,NGR_c02530,"array([11.97577627,  7.23234828])"
50,NGR_c02590,"array([11.96104202,  7.39414117])"
51,NGR_c02540,"array([12.33372169,  7.0768613 ])"
52,NGR_c02580,"array([12.08543595,  7.30145002])"
53,NGR_c01040,"array([3.04690534, 9.49775437])"
54,NGR_c17110,"array([2.83892947, 9.22894148])"
55,NGR_c11840,"array([2.76018844, 9.37462983])"
56,NGR_c09130,"array([2.63694819, 9.77707021])"
57,NGR_c14580,"array([2.95222853, 9.24314562])"
58,NGR_c28350,"array([1.91094496, 9.12092351])"
59,NGR_c12570,"array([2.71345912, 9.65080986])"
60,NGR_c11830,"array([2.67397669, 9.50143824])"
61,NGR_c13030,"array([2.32874031, 9.92429877])"
62,NGR_c12140,"array([2.52573633, 9.46282482])"
63,NGR_c05210,"array([3.14610989, 9.23372229])"
64,NGR_c10480,"array([9.31181416, 0.85909236])"
65,NGR_c22120,"array([9.20414244, 0.52236568])"
66,NGR_c10490,"array([-3.00451773,  7.86594464])"
67,NGR_c22110,"array([-3.13820316,  8.18740123])"
68,NGR_c16730,"array([-3.30411991,  7.9118466 ])"
69,NGR_c01910,"array([-2.48114157,  8.22564125])"
70,NGR_c05240,"array([-2.20964822,  8.30783503])"
71,NGR_c01900,"array([-2.51158144,  8.31622254])"
72,NGR_c10500,"array([-3.37580582,  6.74355119])"
73,NGR_c22100,"array([-2.91340199,  7.5630822 ])"
74,NGR_c10510,"array([-3.3301246 ,  8.47693856])"
75,NGR_c22090,"array([-4.24581721,  8.63024495])"
76,NGR_c10530,"array([-2.58819155,  8.02930895])"
77,NGR_c10550,"array([-2.73637358,  8.10426789])"
78,NGR_c22080,"array([-2.8474862 ,  8.35101811])"
79,NGR_c10540,"array([-3.93227219,  8.60017891])"
